s,x,y,z,Dx,Dy,Dz
0.000,5.00,10.00,20.00,2.50,2.50,2.50
0.020,5.03,10.02,20.01,2.50,2.50,2.50
0.040,5.10,10.08,20.04,2.50,2.50,2.50
0.060,5.23,10.18,20.09,2.50,2.50,2.50
0.080,5.40,10.32,20.16,2.50,2.50,2.50
0.100,5.62,10.50,20.25,2.50,2.50,2.50
0.120,5.90,10.72,20.36,2.50,2.50,2.50
0.140,6.21,10.97,20.49,2.50,2.50,2.50
0.160,6.58,11.26,20.63,2.50,2.50,2.50
0.180,6.98,11.59,20.79,2.50,2.50,2.50
0.200,7.43,11.95,20.97,2.50,2.50,2.50
0.220,7.92,12.34,21.17,2.50,2.50,2.50
0.240,8.45,12.76,21.38,2.50,2.50,2.50
0.260,9.02,13.21,21.61,2.50,2.50,2.50
0.280,9.62,13.69,21.85,2.50,2.50,2.50
0.300,10.25,14.20,22.10,2.50,2.50,2.50
0.320,10.91,14.73,22.36,2.50,2.50,2.50
0.340,11.60,15.28,22.64,2.50,2.50,2.50
0.360,12.31,15.85,22.92,2.50,2.50,2.50
0.380,13.04,16.43,23.22,2.50,2.50,2.50
0.400,13.79,17.03,23.52,2.50,2.50,2.50
0.420,14.55,17.64,23.82,2.50,2.50,2.50
0.440,15.33,18.26,24.13,2.50,2.50,2.50
0.460,16.11,18.89,24.45,2.50,2.50,2.50
0.480,16.91,19.52,24.76,2.50,2.50,2.50
0.500,17.70,20.16,25.08,2.50,2.50,2.50
0.520,18.49,20.79,25.40,2.50,2.50,2.50
0.540,19.28,21.42,25.71,2.50,2.50,2.50
0.560,20.06,22.05,26.02,2.50,2.50,2.50
0.580,20.83,22.66,26.33,2.50,2.50,2.50
0.600,21.59,23.27,26.64,2.50,2.50,2.50
0.620,22.33,23.86,26.93,2.50,2.50,2.50
0.640,23.05,24.44,27.22,2.50,2.50,2.50
0.660,23.75,25.00,27.50,2.50,2.50,2.50
0.680,24.42,25.54,27.77,2.50,2.50,2.50
0.700,25.07,26.06,28.03,2.50,2.50,2.50
0.720,25.69,26.55,28.27,2.50,2.50,2.50
0.740,26.27,27.01,28.51,2.50,2.50,2.50
0.760,26.82,27.45,28.73,2.50,2.50,2.50
0.780,27.33,27.86,28.93,2.50,2.50,2.50
0.800,27.80,28.24,29.12,2.50,2.50,2.50
0.820,28.22,28.58,29.29,2.50,2.50,2.50
0.840,28.61,28.89,29.44,2.50,2.50,2.50
0.860,28.95,29.16,29.58,2.50,2.50,2.50
0.880,29.25,29.40,29.70,2.50,2.50,2.50
0.900,29.49,29.59,29.80,2.50,2.50,2.50
0.920,29.69,29.75,29.88,2.50,2.50,2.50
0.940,29.84,29.87,29.94,2.50,2.50,2.50
0.960,29.94,29.95,29.98,2.50,2.50,2.50
0.980,29.99,29.99,30.00,2.50,2.50,2.50
1.000,29.99,29.99,30.00,2.50,2.50,2.50
